bvid,context_video,title,name_streamer,link_channel,data_publicacao,views,likes,danmaku,coins,shares,favorites,comments
BV1ooXWYiEr2,recorde,【法环速通】世界纪录！终结赛道！艾尔登法环Any%无邪道死亡钩棒路线52:55,Iridium_ore,https://space.bilibili.com/58923464,2025-03-22,313585,7262,2452,2764,1208,2349,607
BV1ZNBBYBEEn,recorde,【法环速通】世界纪录！首个打入53分的主线无邪道纪录！死亡钩棒53:56！,Iridium_ore,https://space.bilibili.com/58923464,2024-11-22,237288,7962,2309,4165,1025,2257,762
BV1V9DxY8EEM,antes_recorde,【法环速通】最抽象的一集，全成就有限制速通3:31:48，暂居第一,Iridium_ore,https://space.bilibili.com/58923464,2024-11-05,18490,443,46,81,10,132,40
BV1Sr1tYmE6i,antes_recorde,伫立于《黄金树幽影》理解之巅的路线！寻找米凯拉25：52速通录像解说,温润如玉祖国宁,https://space.bilibili.com/476116996,2024-10-26,336724,11139,1266,5197,1564,2672,377
BV1bw9wYZEkG,antes_recorde,【速通研究】速通配置下1+0 2分半双神皮,Iridium_ore,https://space.bilibili.com/58923464,2025-02-27,4263,125,1,8,5,8,23
BV1YAP4ehEie,antes_recorde,【法环挑战】新档最快击杀女武神！52分43秒速通圣树底层！,Iridium_ore,https://space.bilibili.com/58923464,2025-02-24,17843,402,87,76,18,62,64
BV1NTi1YYE8D,depois_recorde,【法环速通】世界纪录，Defeat Consort无限制速通51:18,Iridium_ore,https://space.bilibili.com/58923464,2024-12-07,32662,705,181,160,41,124,76
BV1cLqkYWEdH,depois_recorde,53:56!一骑绝尘的主线无邪道速通世界纪录解说！,温润如玉祖国宁,https://space.bilibili.com/476116996,2024-12-10,654588,21820,2759,14335,2229,6653,818
BV17ufPY8ERN,depois_recorde,【法环速通】世界纪录，本体+DLC主线有限制速通，1:06:49,Iridium_ore,https://space.bilibili.com/58923464,2025-04-02,31160,1042,131,388,37,176,87
BV18z5bzJEsH,depois_recorde,【法环速通解说】全网最细！法环主线无邪道速通有史以来最完美的世界纪录解说！,Iridium_ore,https://space.bilibili.com/58923464,2025-04-19,296015,12173,1507,9182,961,4547,402
