date,player,time_seconds,time_formatted,run_link,video_link,Views,Likes,Comments,PublishedAt,ChannelID,CurrentSubscribers,Views_5d_Antes,Likes_5d_Antes,NumVideos_5d_Antes,Views_5d_Depois,Likes_5d_Depois,NumVideos_5d_Depois,PublishedAtDT,VideoAgeDays,ViewsPerDay,EngagementRate
2022-06-25,1xygz7wx,3979.0,1:06:19,http://www.speedrun.com/eldenring/run/z0pd009y,https://www.youtube.com/watch?v=7vYcuM--L3g,1114.0,25.0,3.0,2022-06-25T00:18:57Z,UCjiL8i_nmBNuCTO28luuoew,928.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-06-25 00:18:57+00:00,1202,0.9267886855241264,2.5134649910233393
2022-07-02,68wq1z8g,3908.0,1:05:08,http://www.speedrun.com/eldenring/run/yvrn096z,https://youtu.be/Dgetv7usduQ,5098.0,141.0,27.0,2022-07-02T20:52:35Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,1556.0,45.0,1.0,7534.0,283.0,4.0,2022-07-02 20:52:35+00:00,1194,4.269681742043551,3.295409964692036
2022-07-04,68wq1z8g,3880.0,1:04:40,http://www.speedrun.com/eldenring/run/yddvp2jy,https://youtu.be/Ss1SebRamrw,2122.0,92.0,19.0,2022-07-04T14:33:03Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,6654.0,186.0,2.0,5412.0,191.0,3.0,2022-07-04 14:33:03+00:00,1192,1.7802013422818792,5.230914231856739
2022-07-05,68wq1z8g,3855.0,1:04:15,http://www.speedrun.com/eldenring/run/zq7p13xm,https://youtu.be/s4mqVuWMr2c,1215.0,47.0,12.0,2022-07-06T10:11:08Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,7220.0,233.0,2.0,4197.0,144.0,2.0,2022-07-06 10:11:08+00:00,1190,1.0210084033613445,4.8559670781893
2022-07-06,68wq1z8g,3804.0,1:03:24,http://www.speedrun.com/eldenring/run/zp9ogdxm,https://youtu.be/8mmYPyYRZ4s,2276.0,75.0,19.0,2022-07-07T09:36:14Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,10356.0,349.0,4.0,1629.0,40.0,1.0,2022-07-07 09:36:14+00:00,1189,1.9142136248948696,4.130052724077329
2022-07-12,68wq1z8g,3793.0,1:03:13,http://www.speedrun.com/eldenring/run/z1p7v1rz,https://youtu.be/jWcrKUr7_CY,1629.0,40.0,17.0,2022-07-12T08:47:49Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,2276.0,75.0,1.0,1903.0,69.0,1.0,2022-07-12 08:47:49+00:00,1184,1.3758445945945945,3.4990791896869244
2022-07-14,68wq1z8g,3782.0,1:03:02,http://www.speedrun.com/eldenring/run/mr7wn24z,https://youtu.be/2g7M9No2egU,1903.0,69.0,11.0,2022-07-15T10:17:29Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,1629.0,40.0,1.0,4368.0,116.0,1.0,2022-07-15 10:17:29+00:00,1181,1.611346316680779,4.203888596952181
2022-07-20,68wq1z8g,3711.0,1:01:51,http://www.speedrun.com/eldenring/run/mkknxv1m,https://youtu.be/nrqMpyPCWnk,8048.0,170.0,31.0,2022-07-21T09:40:57Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,4368.0,116.0,1.0,0.0,0.0,0.0,2022-07-21 09:40:57+00:00,1175,6.849361702127659,2.497514910536779
2022-08-02,68wq1z8g,3649.0,1:00:49,http://www.speedrun.com/eldenring/run/yw61jk2m,https://youtu.be/3iDfyM9rs44,6095.0,190.0,37.0,2022-08-02T16:11:27Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,0.0,0.0,0.0,16549.0,310.0,1.0,2022-08-02 16:11:27+00:00,1163,5.240756663800516,3.7243642329778504
2022-08-05,68wq1z8g,3620.0,1:00:20,http://www.speedrun.com/eldenring/run/mkd95e5y,https://youtu.be/mQbA2TVPNB4,16549.0,310.0,52.0,2022-08-06T14:06:18Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,6095.0,190.0,1.0,0.0,0.0,0.0,2022-08-06 14:06:18+00:00,1159,14.278688524590164,2.1874433500513626
2022-08-23,68wq1z8g,3611.0,1:00:11,http://www.speedrun.com/eldenring/run/m3xrd3dm,https://youtu.be/3zMjefwST2U,5685.0,132.0,28.0,2022-08-23T10:15:04Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,0.0,0.0,0.0,11434.0,238.0,1.0,2022-08-23 10:15:04+00:00,1142,4.978108581436077,2.8144239226033423
2022-08-27,68wq1z8g,3602.0,1:00:02,http://www.speedrun.com/eldenring/run/me14vnqy,https://www.youtube.com/watch?v=mD9JDz6IvuY,11434.0,238.0,41.0,2022-08-27T11:13:21Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,5685.0,132.0,1.0,0.0,0.0,0.0,2022-08-27 11:13:21+00:00,1138,10.047451669595782,2.4400909567955225
2022-08-31,jpop7wy8,3581.0,0:59:41,http://www.speedrun.com/eldenring/run/yd1w34qy,https://youtu.be/OMRyqJ0dwaM,7419.0,193.0,31.0,2022-08-31T23:39:35Z,UCCmxS70BoOFIRZ1hH4LqYyg,13600.0,243.0,11.0,2.0,0.0,0.0,0.0,2022-08-31 23:39:35+00:00,1134,6.542328042328043,3.0192748348834075
2022-09-07,68wq1z8g,3566.0,0:59:26,http://www.speedrun.com/eldenring/run/m7x641ey,https://youtu.be/O3z3DC8bVQQ,12646.0,301.0,61.0,2022-09-08T09:19:11Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,5914.0,166.0,1.0,0.0,0.0,0.0,2022-09-08 09:19:11+00:00,1126,11.230905861456483,2.8625652380199273
2022-09-14,jpop7wy8,3561.0,0:59:21,http://www.speedrun.com/eldenring/run/me1eogqy,https://youtu.be/SL7QWA510FI,3144.0,52.0,11.0,2022-09-15T16:06:58Z,UCCmxS70BoOFIRZ1hH4LqYyg,13600.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-15 16:06:58+00:00,1119,2.809651474530831,2.0038167938931295
2022-09-17,68wq1z8g,3551.0,0:59:11,http://www.speedrun.com/eldenring/run/yjd8w2gy,https://youtu.be/MIE1U8tvDbk,11441.0,234.0,42.0,2022-09-17T16:20:56Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-17 16:20:56+00:00,1117,10.242614145031334,2.4123765405121933
2022-10-07,68wq1z8g,3522.0,0:58:42,http://www.speedrun.com/eldenring/run/z0lqlw8z,https://youtu.be/gcTu-ELk2JI,148936.0,2074.0,147.0,2022-10-08T10:52:24Z,UC1FMaP1PwqIx7houyjJF9tg,12100.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-08 10:52:24+00:00,1096,135.8905109489051,1.491244561422356
